送られてきたメッセージ,返信のID
よろしくお願いします,1
あ？,1
なにこれ笑,1
やぁ,1
どなた、、、、、？,1
母親でしょ,1
中の人はどう？,1
利光でしょ,1
塩谷でしょ,1
君の名は？,1
名前は何？,1
なんていうの,1
どこいんの？,2
実際どうなんすか？笑,2
どういう意味で？,2
なにこれww,2
なんだそれw,2
いつまでに答えれば良い？,2
途中参加アリ？,2
どゆこと？笑,2
なんの食べ放題？,2
なにがどうなってるのwww,2
どうなっているの？,2
性別は？,2
なんだこりゃ,2
どこにいけばいい？,2
どういう意味？,2
真相は？,2
なに？,2
どういうことだよ,2
メアド教えて,2
なんでなの？,2
事情を教えて,2
続く,2
そして？,2
こんにちは,3
ういっす,3
こんばんは,3
あけましておめでとうございます,3
おい,3
冷酷だなあ,4
現地行かないと,4
病院行かないと,4
おおきに,4
またね,4
おはよ！！,5
今起きた,5
おはよう、起きたよ,5
やっと起きました,5
こちらはねむい！！！,6
とにかくねむい！,6
起きている起きている,6
ねむい,6
歯磨きなう,6
ハミガキなう,6
そろそろ真夜中,6
ちなみにワシはもう家😎,7
無事を確認した,7
さびしくなったら一発逆転の応援団作って来てね笑,8
来年じゃないわ、今年の9月とか,8
近々帰国の日を決めたら企画するので是非参加を...,8
予定合う人少なかったら日程遅らせるするかもだし,8
ビデオ長くて２つに分かれちゃった,8
下行くわ,8
ここで集まろう,8
ごめんやっぱ間に合わないからまた,8
まじか,8
みんなもっと日光を持ってきて！,8
落ち着いたらやってみる！！！,8
遅れます！,8
アイス全員分お願いいたします,8
遅れません💓,8
わかる,8
おいでよ,8
まだやっているのか！,8
気軽に来てちょ,8
わしもそんな感じやな,8
もうみんなついてるの？,8
こっち来なよ,8
ちょうどいい,8
ご飯家で食べます,8
傷つけないで,8
ちょっと待って,8
本屋にいこ,8
自身で調べて,8
辞書で調べて,8
2階に行きます,8
24時間なら,8
今時間内,8
今無理,8
今ならね,8
はやくー,8
必要だろ！,8
ボートで行きます,8
そろそろ,8
ゴミ箱持ってこい,8
電話したい,8
でんわー,8
今留守,8
留守番電話にしよう,8
ことわざ知っている？,8
漢字書ける？,8
いま暇？,9
大丈夫！,9
ついに簡単な日本語すらわからなくなったかと思った,9
でっちあげだ,9
認めなさい,9
犯人だわ,9
衝撃の展開,9
不信感がある,9
変でしょ,9
来月も,9
警察行ってこい,9
セレブだなあ,9
パソコンの中に若い僕がいる...(),10
Geofflyと親友やんwww,10
わざわざ一人で見に来てくれたよ涙,10
ぜひー,10
みんなで集まりたい！！,10
今日応援団！史上最強の舞台だわ！,10
わかるー,10
声高いよね笑かわいい,10
そう！,10
なるほどあたまいい,10
うぇーい,10
よっしゃ会おう,10
早めの夜ご飯食べよう笑,10
いいね！,10
行きます！！,10
記入してくれた人たちありがとう、みんなもよろしく！,10
久々にみんなに会えるの楽しみ,10
イェーイ！,10
みんなにあいたいいい！,10
予約ありがとう！！たのしみ！,10
ありがとたのしみ❤️❤️❤,10
かっくいいいいいいい！！！,10
利光泰徳のサマーライブ、はじまるよおおおおおおお,10
暑い夏を謳歌しているかああアーーー？,10
利光泰徳のサマーライブ、はじまるよおおおおおおお,10
うおおおおおおお！！！,10
楽しみ,10
楽しみだね！,10
やったぁ〜〜,10
ほんとだ笑,10
ありがとうたのしみ！,10
じゃあ就活は大丈夫,10
いいな…,10
めっちゃウケる,10
まだまだ！,10
バーベキュー楽しかった,10
買い物は天国,10
たかろ,10
ヒーローになりたい,10
旅行したい,10
ごめんなさいのkissing you,10
ゴキブリホイホイ,10
ゼリーうめえ,10
笑った,10
旅行行きたい,10
まるで普通の会話,10
全米が泣いた,10
笑いがとまらない,10
いえい,10
ノリノリじゃん,10
へいへい,10
just do it,10
うぇいうぇい,10
うぇい,10
w,10
（笑）,10
笑,10
花が咲いた,10
桜満開,10
ちなみに本間さんも来年イギリスに留学するそうです,11
序盤頑張れば後半楽しい,11
6/10-20のどこかで帰るから6/25(日)説濃厚かな,11
ちなみに今日は今年の附属戦〜,11
いま渋谷いるw,11
たのしみだにゃー,11
ただ大雨とかでヤバそうだったらキャンセルできると思う。,11
俺も間違えそうになって,11
おお！それはよかった笑笑,11
人がでかい,11
俺も謎,11
何も言えねえ,11
結婚したい,11
彼女に会いたい,11
彼氏に会いたい,11
そうだ、京都行こう,11
ダイエットなう,11
お茶飲みたい,11
新聞読んだ,11
染み一つない,11
忙しいから今無理,11
目撃した人はいません,11
軽い,11
ノリがわからん,11
秒速５センチメートルで歩いている,11
まじかーみにいきたかったー,12
1日やっているしどこかのタイミングで、、、,12
見に行こうかなww,12
あいにいきたみ,12
会いたいね,12
夏休みみんなであそぼ！！！,12
あそぼ！！,12
そっちのビルか,12
また今度だね,12
花火やりたい...,12
また来年！,12
しゅうかつしてるのね,12
生活習慣がなぞ,12
食べられちゃいそう,12
考えよ,12
CMつまらん,12
理不尽じゃんw,12
間違ってはいない,12
安い,12
高い,12
綺麗な道,12
弁当屋の弁当はおいしい,12
家族っていいね,12
素晴らしいカップルだ,12
テレビ消して,12
テレビつまらん,12
オーロラ見たい,12
イオン行こう,12
無料なら,12
謎いわあ,12
近くて便利,12
無料なら,12
普段と違う,12
果てしない,12
衝撃だわ,12
真実はいつも１つ,12
ゆとり,12
時間ない,12
一日中大会なのよ…,13
もういくけど,13
そっちは正確にはうちのビルじゃないんだけどねw,13
やばw,13
駅からすぐだよ,13
と、突然何か始まった,13
日曜日雨の可能性があるみたい,13
よく読むと違う笑,13
あ、あれれ〜？ww,13
ほ、ホントだ、テスト日程出てる〜,13
じゃああがっちゃうよ、,13
カメラ回っている,13
子供はいる,13
LINE有料化するよ,13
美女発見,13
そんなばなな,13
緊急地震速報,13
おかしいい,13
おかしいだろそれは,13
いいねww がんばって！！！！,14
がんばれー6,14
おかえり！,14
おかえり〜！,14
わーーおかえり！！！,14
楽しんできてね～～！,14
オーケー,14
ほんとにみんなありがとうでした！,14
おめでとー！！！！,14
お誕生日おめでとう！！！！,14
はいこれね,14
おつかれさまでした笑,14
思考停止,14
がんばって,14
感動したーー！！,14
いいよ笑,14
おつかれさま！,14
いいよー,14
おかえりなさいませ,14
真面目だ,14
お金ある,14
