送られてきたメッセージ,返信のID,
こんにちは,3,
ういっす,3,
調子はどう？,28,
いいねww がんばって！！！！,14,
いーもん,27,
パソコンの中に若い僕がいる...(),10,
ありがとう！,15,
応援団大成功だった！,16,
やり切った図↑,16,
Geofflyと親友やんwww,10,
わざわざ一人で見に来てくれたよ涙,10,
ちなみに本間さんも来年イギリスに留学するそうです,11,
さびしくなったら一発逆転の応援団作って来てね笑,8,
来年じゃないわ、今年の9月とか,8,
まさかの説明ありがとう🙆笑,15,
序盤頑張れば後半楽しい,11,
やりたいかは別として...笑,29,
楽しそうで何よりすぎる😭笑,15,
近々帰国の日を決めたら企画するので是非参加を...,8,
初鮨！,29,
ぜひー,10,
6/10-20のどこかで帰るから6/25(日)説濃厚かな,11,
まだわからんけど！,29,
予定合う人少なかったら日程遅らせるするかもだし,8,
みんなで集まりたい！！,10,
独り言:来週おそらくアメリカで最後のパフォーマンスだから頑張るぞ〜！,22,
がんばれー6,14,
ありがとう、タヤン,15,
さくまさーーーん,29,
早稲田大学学習院応援団の柴田もありがとう！,15,
今日応援団！史上最強の舞台だわ！,10,
どこここ,29,
とりあえず史上最高の舞台だったわ！,22,
つるつるの人推し,27,
わかるー,10,
声高いよね笑かわいい,10,
そう！,10,
ビデオ長くて２つに分かれちゃった,8,
ちなみに今日は今年の附属戦〜,11,
まじかーみにいきたかったー,12,
1日やっているしどこかのタイミングで、、、,12,
一日中大会なのよ…,13,
毎年大会かOB会にかぶってみれない,19,
なるほどあたまいい,10,
うぇーい,10,
写真撮って,8,
おかえり！,14,
ありがとうなう！,15,
おかえり〜！,14,
わーーおかえり！！！,14,
ありがとううううう！,15,
は？？お前らどこだよずりーぞ,18,
バレたな,18,
ちょっとおそかった,18,
残念,18,
かなしい,18,
見に行こうかなww,12,
いま暇？,9,
あいにいきたみ,12,
会いたいね,12,
夏休みみんなであそぼ！！！,12,
あそぼ！！,12,
よっしゃ会おう,10,
早めの夜ご飯食べよう笑,10,
いいね！,10,
羨ましい😭😭😭😭😭笑,18,
行きます！！,10,
いま渋谷いるw,11,
どこいんの？,2,
もういくけど,13,
下行くわ,8,
ここで集まろう,8,
そっちのビルか,12,
そっちは正確にはうちのビルじゃないんだけどねw,13,
やばw,13,
ごめんやっぱ間に合わないからまた,8,
悲しみの海,17,
方向音痴には短時間では厳しかった,18,
また今度だね,12,
駅からすぐだよ,13,
まじか,8,
そうだね,29,
気が引けちゃう,22,
大丈夫！,9,
記入してくれた人たちありがとう、みんなもよろしく！,10,
あら残念,29,
みんな記入ありがとう！,15,
こんばんは,3,
久々にみんなに会えるの楽しみ,10,
イェーイ！,10,
みんなにあいたいいい！,10,
予約ありがとう！！たのしみ！,10,
ありがとたのしみ❤️❤️❤,10,
かっくいいいいいいい！！！,10,
利光泰徳のサマーライブ、はじまるよおおおおおおお,10,
暑い夏を謳歌しているかああアーーー？,10,
利光泰徳のサマーライブ、はじまるよおおおおおおお,10,
うおおおおおおお！！！,10,
と、突然何か始まった,13,
あ、間違えた,18,
たのしみだにゃー,11,
日曜日雨の可能性があるみたい,13,
雨男女多過ぎ問題,23,
ただ大雨とかでヤバそうだったらキャンセルできると思う。,11,
みんなもっと日光を持ってきて！,8,
楽しみ,10,
楽しみだね！,10,
ごめんね,25,
落ち着いたらやってみる！！！,8,
花火やりたい...,12,
みんなたのしんで〜〜行きたかった😢,18,
また来年！,12,
楽しんできてね～～！,14,
俺も間違えそうになって,11,
よく読むと違う笑,13,
申し訳ない,28,
遅れます！,8,
アイス全員分お願いいたします,8,
オーケー,14,
遅れません💓,8,
ほんとにみんなありがとうでした！,14,
やったぁ〜〜,10,
あけましておめでとうございます,3,
おめでとー！！！！,14,
よろしくお願いします,1,
実際どうなんすか？笑,2,
かわいそ,20,
あ、あれれ〜？ww,13,
ほ、ホントだ、テスト日程出てる〜,13,
それな,22,
お誕生日おめでとう！！！！,14,
ありがとーう,15,
おい,19,
ヒップホップな感じになった,20,
どういう意味で？,2,
ほんとだ笑,10,
ありがとうたのしみ！,10,
なにこれww,2,
おけありがとう！,15,
よくわかんない,23,
おお！それはよかった笑笑,11,
今頃頭痛くなってきた,18,
きもちわるくてしにそう,25,
はいこれね,14,
ちなみにワシはもう家😎,7,
キレそう,21,
わかる,8,
しゅうかつしてるのね,12,
することになった...はぁ...,24,
ESなんこもあきらめた,17,
むずかしすぎ,22,
日本語むり,22,
人の言葉がわからない,22,
でも面白かったよ,15,
つらいよね,28,
じゃあ就活は大丈夫,10,
おいでよ,8,
いいな…,10,
まだやっているのか！,8,
ちょうど終わった,16,
おつかれさまでした笑,14,
思考停止,14,
がんばって,14,
実現した,16,
全くわからないんだが,23,
電波悪い！,23,
人がでかい,11,
こちらは楽しくない,25,
こちらはねむい！！！,6,
とにかくねむい！,6,
めっちゃ楽しい！,16,
待ってwwwww,23,
めっちゃウケる,10,
おはよ！！,5,
なんだそれw,2,
感動したーー！！,14,
そうだわ,29,
いいよ笑,14,
まだまだ！,10,
おつかれさま！,14,
いいよー,14,
みんな元気だして〜,22,
気軽に来てちょ,8,
いつまでに答えれば良い？,2,
途中参加アリ？,2,
わしもそんな感じやな,8,
おかえりなさいませ,14,
どゆこと？笑,2,
なんの食べ放題？,2,
それ,29,
もうみんなついてるの？,8,
3人しかいない,18,
すみません！,28,
じゃああがっちゃうよ、,13,
